Band,fl_Hz,fu_Hz,N,delta_rel_%,wl,integer_bits,frac_bits,lsbExt,H,Heps,guard_bits
37,4489.8481932374925,5656.85424949238,4,5.0,18,4,14,-24,2.20112,1411.61,11
37,4489.8481932374925,5656.85424949238,4,10.0,18,4,14,-24,2.20112,1411.61,11
37,4489.8481932374925,5656.85424949238,4,15.0,18,4,14,-24,2.20112,1411.61,11
37,4489.8481932374925,5656.85424949238,4,20.0,18,4,14,-24,2.20112,1411.61,11
37,4489.8481932374925,5656.85424949238,5,0.0,21,5,16,-27,2.82767,11630.7,14
37,4489.8481932374925,5656.85424949238,5,5.0,21,5,16,-27,2.82767,11630.7,14
37,4489.8481932374925,5656.85424949238,5,10.0,21,5,16,-27,2.82767,11630.7,14
37,4489.8481932374925,5656.85424949238,5,15.0,21,5,16,-27,2.82767,11630.7,14
37,4489.8481932374925,5656.85424949238,5,20.0,21,5,16,-27,2.82767,11630.7,14
37,4489.8481932374925,5656.85424949238,6,5.0,26,7,19,-30,3.22778,120779.0,17
37,4489.8481932374925,5656.85424949238,6,10.0,26,7,19,-30,3.22778,120779.0,17
37,4489.8481932374925,5656.85424949238,6,15.0,26,7,19,-30,3.22778,120779.0,17
37,4489.8481932374925,5656.85424949238,6,20.0,26,7,19,-30,3.22778,120779.0,17
