iir_type,band,octave,filter_nb,iir_order_N,iir_order_effective,coeff_type,coeff_index,integer_bits,frac_bits,quantized_value,float_hex,binary_repr,ansi_valid_5,ansi_valid_10,ansi_valid_15,ansi_valid_20
butterworth,23,1,2,7,14,a,0,13,40,1.0,0x1.0000000000000p+0,0b10000000000000000000000000000000000000000,False,False,False,False
butterworth,23,1,2,7,14,a,1,13,40,-13.806076501081407,-0x1.b9cb60f247000p+3,-0b11011100111001011011000001111001001000111000,False,False,False,False
butterworth,23,1,2,7,14,a,2,13,40,88.5709515940116,0x1.6248a788df840p+6,0b10110001001001000101001111000100011011111100001,False,False,False,False
butterworth,23,1,2,7,14,a,3,13,40,-349.9641274635587,-0x1.5df6d10eb5290p+8,-0b1010111011111011011010001000011101011010100101001,False,False,False,False
butterworth,23,1,2,7,14,a,4,13,40,951.4638202896076,0x1.dbbb5e76978b0p+9,0b11101101110111011010111100111011010010111100010110,False,False,False,False
butterworth,23,1,2,7,14,a,5,13,40,-1882.8754740186341,-0x1.d6b807c42da20p+10,-0b111010110101110000000011111000100001011011010001000,False,False,False,False
butterworth,23,1,2,7,14,a,6,13,40,2796.8878657274327,0x1.5d9c696562d20p+11,0b1010111011001110001101001011001010110001011010010000,False,False,False,False
butterworth,23,1,2,7,14,a,7,13,40,-3168.048614176344,-0x1.8c018e3f5130ap+11,-0b1100011000000000110001110001111110101000100110000101,False,False,False,False
butterworth,23,1,2,7,14,a,8,13,40,2749.712507441851,0x1.57b6ccdc681d0p+11,0b1010101111011011011001100110111000110100000011101000,False,False,False,False
butterworth,23,1,2,7,14,a,9,13,40,-1819.893931677243,-0x1.c6f9362d35a78p+10,-0b111000110111110010011011000101101001101011010011110,False,False,False,False
butterworth,23,1,2,7,14,a,10,13,40,904.1261297558722,0x1.c410250514430p+9,0b11100010000010000001001010000010100010100010000110,False,False,False,False
butterworth,23,1,2,7,14,a,11,13,40,-326.9433927260534,-0x1.46f1822f89af0p+8,-0b1010001101111000110000010001011111000100110101111,False,False,False,False
butterworth,23,1,2,7,14,a,12,13,40,81.34908613645439,0x1.456576d60e3c0p+6,0b10100010101100101011101101101011000001110001111,False,False,False,False
butterworth,23,1,2,7,14,a,13,13,40,-12.466485211492,-0x1.8eed7264eda00p+3,-0b11000111011101101011100100110010011101101101,False,False,False,False
butterworth,23,1,2,7,14,a,14,13,40,0.8877408291773463,0x1.c685f74948000p-1,0b1110001101000010111110111010010010100100,False,False,False,False
butterworth,24,1,3,7,14,b,0,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,24,1,3,7,14,b,1,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,24,1,3,7,14,b,2,13,40,-2.7284841053187847e-12,-0x1.8000000000000p-39,-0b11,False,False,False,False
butterworth,24,1,3,7,14,b,3,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,24,1,3,7,14,b,4,13,40,7.275957614183426e-12,0x1.0000000000000p-37,0b1000,False,False,False,False
butterworth,24,1,3,7,14,b,5,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,24,1,3,7,14,b,6,13,40,-1.1823431123048067e-11,-0x1.a000000000000p-37,-0b1101,False,False,False,False
butterworth,24,1,3,7,14,b,7,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,24,1,3,7,14,b,8,13,40,1.1823431123048067e-11,0x1.a000000000000p-37,0b1101,False,False,False,False
butterworth,24,1,3,7,14,b,9,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,24,1,3,7,14,b,10,13,40,-7.275957614183426e-12,-0x1.0000000000000p-37,-0b1000,False,False,False,False
